tic,angle,health,momx,momy,weapon,ray0,ray1,ray2,ray3,ray4,ray5,ray6,ray7,ray8,ray9,ray10,ray11,ray12,ray13,ray14,ray15,m0_dx,m0_dy,m0_present,m1_dx,m1_dy,m1_present,m2_dx,m2_dy,m2_present,last_fwd,last_side,last_turn,last_fire,last_use,cmd_fwd,cmd_side,cmd_turn,cmd_buttons
0,0.2500,100,0.00,0.00,1.00,736.0,727.2,693.1,381.1,138.7,83.7,45.2,69.3,64.0,69.2,45.2,83.5,138.6,311.7,1041.2,751.9,1184.0,-1216.0,1.0,800.0,-1856.0,1.0,-800.0,-1952.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
1,0.2500,100,0.00,0.00,1.00,736.0,727.2,693.1,381.1,138.7,83.7,45.2,69.3,64.0,69.2,45.2,83.5,138.6,311.7,1041.2,751.9,1184.0,-1216.0,1.0,800.0,-1856.0,1.0,-800.0,-1952.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2,0.4761,100,-1.40,0.21,1.00,174.0,106.5,54.3,58.9,64.9,66.2,56.6,62.3,118.2,215.7,359.6,261.4,744.2,527.7,635.0,409.4,-1026.5,-1352.8,1.0,-1716.8,-1068.9,1.0,-2051.4,498.6,1.0,1.0,1.0,2.0,0.0,0.0,50,0,14816,0
3,0.4761,100,-1.27,0.19,1.00,172.6,105.6,54.7,56.2,65.2,66.4,58.9,62.7,119.6,218.3,361.3,261.2,744.0,526.9,634.5,407.8,-1027.9,-1352.8,1.0,-1718.2,-1068.9,1.0,-2052.8,498.6,1.0,2.0,1.0,4.0,0.0,0.0,0,0,0,0
4,0.4761,100,-1.15,0.17,1.00,171.3,104.8,55.0,53.7,65.3,66.6,61.1,63.1,120.9,220.6,362.9,260.9,743.8,526.7,634.0,406.3,-1029.2,-1352.8,1.0,-1719.5,-1068.9,1.0,-2054.1,498.6,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
5,0.4761,100,-1.04,0.16,1.00,170.2,104.1,55.3,51.5,65.5,66.8,63.0,63.4,122.0,222.8,364.3,260.8,743.6,526.5,633.6,405.0,-1030.4,-1352.8,1.0,-1720.7,-1068.9,1.0,-2055.2,498.6,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
6,0.4761,100,-0.94,0.14,1.00,169.1,103.5,55.6,49.5,65.7,66.9,64.8,63.8,123.1,224.7,365.6,260.6,743.4,526.4,633.2,403.8,-1031.4,-1352.8,1.0,-1721.7,-1068.9,1.0,-2056.3,498.6,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
7,0.4727,100,-1.75,0.28,1.00,174.2,104.2,57.8,44.2,66.2,66.9,70.1,62.2,122.5,217.3,362.3,263.7,745.8,547.1,624.5,406.9,-1004.1,-1374.6,1.0,-1700.3,-1105.7,1.0,-2068.5,454.3,1.0,1.0,1.0,2.0,0.0,0.0,32,0,-224,0
8,0.4657,100,-2.97,0.56,1.00,187.2,106.3,62.8,41.3,67.4,66.9,78.2,59.3,121.0,203.8,355.8,270.7,751.5,721.6,263.7,414.9,-946.4,-1417.3,1.0,-1653.7,-1179.0,1.0,-2089.7,363.4,1.0,2.0,1.0,1.0,0.0,0.0,50,0,-456,0
9,0.4647,100,-2.97,0.57,1.00,186.2,104.9,64.6,42.2,68.2,67.5,78.7,59.8,123.6,206.7,358.2,271.1,751.9,720.8,261.9,412.7,-941.0,-1423.2,1.0,-1649.8,-1189.3,1.0,-2095.2,350.5,1.0,2.0,1.0,0.0,0.0,0.0,10,0,-64,0
10,0.4647,100,-2.69,0.52,1.00,182.9,103.1,65.7,42.9,64.2,68.1,79.3,61.0,126.6,211.6,361.8,270.4,751.3,718.9,261.3,409.0,-944.0,-1423.3,1.0,-1652.8,-1189.4,1.0,-2098.2,350.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
