tic,angle,health,momx,momy,weapon,ray0,ray1,ray2,ray3,ray4,ray5,ray6,ray7,ray8,ray9,ray10,ray11,ray12,ray13,ray14,ray15,m0_dx,m0_dy,m0_present,m1_dx,m1_dy,m1_present,m2_dx,m2_dy,m2_present,last_fwd,last_side,last_turn,last_fire,last_use,cmd_fwd,cmd_side,cmd_turn,cmd_buttons
0,0.2500,100,0.00,0.00,1.00,736.0,727.2,693.1,381.1,138.7,83.7,45.2,69.3,64.0,69.2,45.2,83.5,138.6,311.7,1041.2,751.9,1184.0,-1216.0,1.0,1264.0,-1216.0,1.0,32.0,-2000.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
1,0.1115,100,-1.08,-0.91,1.00,378.3,280.7,739.7,710.1,658.4,395.1,154.2,100.3,48.1,66.9,63.2,66.1,51.5,67.3,124.8,303.4,1694.4,121.8,1.0,1745.9,182.9,1.0,1551.5,-1264.4,1.0,1.0,1.0,2.0,0.0,0.0,-50,0,-9080,0
2,0.1115,100,-0.98,-0.83,1.00,379.7,283.1,740.6,710.4,659.2,393.9,151.6,98.7,46.7,64.6,62.3,65.1,53.2,65.3,124.6,304.5,1695.8,121.8,1.0,1747.4,182.9,1.0,1552.9,-1264.4,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0
3,0.1115,100,-0.89,-0.75,1.00,381.0,285.2,741.4,710.8,659.9,392.8,149.3,96.7,45.4,62.4,61.5,64.2,54.7,63.5,124.5,305.5,1697.1,121.8,1.0,1748.6,182.9,1.0,1554.2,-1264.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
4,0.1115,100,-0.81,-0.68,1.00,382.2,287.1,742.2,711.1,660.6,391.8,147.1,94.2,44.2,60.5,60.7,63.5,56.1,61.9,124.4,306.5,1698.3,121.8,1.0,1749.8,182.9,1.0,1555.4,-1264.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
5,0.1115,100,-0.73,-0.62,1.00,383.2,288.9,742.9,711.3,661.2,390.9,145.2,92.0,43.2,58.8,60.0,62.8,57.3,60.4,124.3,307.3,1699.3,121.8,1.0,1750.9,182.9,1.0,1556.4,-1264.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
6,0.1115,100,-0.66,-0.56,1.00,384.2,290.5,743.5,711.6,661.7,390.1,143.4,90.0,42.2,57.2,59.4,62.1,58.5,59.1,124.2,308.1,1700.3,121.8,1.0,1751.8,182.9,1.0,1557.4,-1264.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
7,0.1115,100,-0.60,-0.51,1.00,385.0,291.9,744.1,711.8,662.2,389.3,141.8,88.1,41.3,55.8,58.8,61.5,59.5,57.9,124.2,308.8,1701.1,121.8,1.0,1752.7,182.9,1.0,1558.3,-1264.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
8,0.1115,100,-0.54,-0.46,1.00,385.8,293.2,744.6,712.0,662.6,388.7,140.4,86.4,40.6,54.4,58.3,61.0,60.4,56.8,124.1,309.4,1701.9,121.8,1.0,1753.5,182.9,1.0,1559.1,-1264.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
9,0.1115,100,-0.49,-0.42,1.00,386.5,294.4,745.0,712.2,663.0,388.0,139.1,84.9,39.8,53.2,57.9,60.5,61.3,55.8,124.0,310.0,1702.6,121.8,1.0,1754.2,182.9,1.0,1559.8,-1264.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
10,0.1115,100,-0.45,-0.38,1.00,387.2,295.5,745.4,712.3,663.4,387.5,137.9,83.6,39.2,52.2,57.5,60.1,62.1,54.9,124.0,310.5,1703.3,121.8,1.0,1754.8,182.9,1.0,1560.4,-1264.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
11,0.1115,100,-0.40,-0.34,1.00,387.8,644.1,745.8,712.5,663.7,387.0,136.8,82.3,38.6,51.2,57.1,59.7,62.8,54.1,123.9,311.0,1703.9,121.8,1.0,1755.4,182.9,1.0,1561.0,-1264.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
12,0.1115,100,-0.37,-0.31,1.00,388.3,645.0,746.2,712.8,664.0,386.5,135.9,81.2,38.1,50.3,56.8,59.3,63.4,53.3,123.9,311.4,1704.4,121.8,1.0,1755.9,182.9,1.0,1561.5,-1264.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
13,0.1115,100,-0.33,-0.28,1.00,388.8,645.8,746.5,713.1,664.3,386.1,135.0,80.2,37.6,49.5,56.4,59.0,63.9,52.7,123.8,311.8,1704.9,121.8,1.0,1756.4,182.9,1.0,1562.0,-1264.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
14,0.1115,100,-0.30,-0.25,1.00,389.2,646.5,746.8,713.4,664.5,385.8,134.2,79.2,37.2,48.8,56.2,58.7,64.5,52.1,123.8,312.1,1705.3,121.8,1.0,1756.9,182.9,1.0,1562.4,-1264.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
15,0.1115,100,-0.27,-0.23,1.00,389.6,647.2,747.0,713.7,664.8,385.4,133.4,78.4,36.8,48.2,55.9,58.4,64.9,51.5,123.8,312.4,1705.7,121.8,1.0,1757.2,182.9,1.0,1562.8,-1264.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
16,0.1115,100,-0.25,-0.21,1.00,390.0,647.8,747.2,713.9,664.9,385.1,132.8,77.6,36.4,47.6,55.7,58.2,65.3,51.0,123.8,312.7,1706.1,121.8,1.0,1757.6,182.9,1.0,1563.2,-1264.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
17,0.1115,100,-0.22,-0.19,1.00,390.3,648.3,747.4,714.2,665.1,384.8,132.2,76.9,36.1,47.0,55.5,58.0,65.7,50.6,123.7,313.0,1706.4,121.8,1.0,1757.9,182.9,1.0,1563.5,-1264.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
18,0.1115,100,-0.20,-0.17,1.00,390.6,648.8,747.7,714.3,665.3,384.6,131.7,76.3,35.8,46.5,55.2,57.8,66.1,50.1,123.7,313.2,1706.7,121.8,1.0,1758.2,182.9,1.0,1563.8,-1264.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
19,0.1115,100,-0.18,-0.16,1.00,390.8,649.2,747.8,714.5,665.4,384.3,131.2,75.8,35.5,46.1,55.1,57.6,66.4,49.8,123.7,313.4,1706.9,121.8,1.0,1758.5,182.9,1.0,1564.1,-1264.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
20,0.1115,100,-0.17,-0.14,1.00,391.1,649.6,748.0,714.7,665.6,384.1,130.7,75.2,35.3,45.7,54.9,57.4,66.7,49.4,123.7,313.6,1707.2,121.8,1.0,1758.7,182.9,1.0,1564.3,-1264.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
21,0.1115,100,-0.15,-0.13,1.00,391.3,650.0,748.1,714.8,665.7,383.9,130.3,74.8,35.1,45.3,54.8,57.3,66.9,49.1,123.6,313.8,1707.4,121.8,1.0,1758.9,182.9,1.0,1564.5,-1264.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
