tic,angle,health,momx,momy,weapon,ray0,ray1,ray2,ray3,ray4,ray5,ray6,ray7,ray8,ray9,ray10,ray11,ray12,ray13,ray14,ray15,m0_dx,m0_dy,m0_present,m1_dx,m1_dy,m1_present,m2_dx,m2_dy,m2_present,last_fwd,last_side,last_turn,last_fire,last_use,cmd_fwd,cmd_side,cmd_turn,cmd_buttons
0,0.2499,100,0.00,0.00,1.00,736.0,727.0,692.8,381.2,138.9,83.8,45.3,69.3,64.0,69.2,45.3,83.4,138.4,311.6,1042.1,750.5,1184.9,-1215.1,1.0,1264.9,-1215.0,1.0,33.5,-2000.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,-8,0
1,0.2487,100,0.01,1.42,1.00,734.5,723.1,687.3,382.4,142.4,89.6,47.9,71.2,65.5,70.7,47.0,85.8,139.1,310.6,1047.9,736.9,1192.7,-1206.0,1.0,1272.7,-1205.3,1.0,47.3,-1999.7,1.0,1.0,1.0,2.0,0.0,0.0,50,0,-80,0
2,0.2487,100,0.01,1.28,1.00,733.0,721.5,685.7,382.4,144.3,93.4,49.9,72.8,67.0,72.2,49.0,89.5,140.9,310.6,1045.9,736.8,1191.2,-1206.0,1.0,1271.2,-1205.3,1.0,45.9,-1999.7,1.0,2.0,1.0,1.0,0.0,0.0,0,0,0,0
3,0.2487,100,0.01,1.16,1.00,731.8,720.2,684.2,382.4,146.1,96.8,51.7,74.2,68.2,73.6,50.8,92.8,142.6,310.6,1044.1,736.8,1190.0,-1206.0,1.0,1270.0,-1205.3,1.0,44.6,-1999.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
4,0.2487,100,0.01,1.05,1.00,730.6,718.9,682.8,382.5,147.7,99.9,53.4,75.4,69.4,74.8,52.4,95.8,144.2,310.5,1042.4,736.8,1188.8,-1206.0,1.0,1268.8,-1205.3,1.0,43.4,-1999.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
5,0.2487,100,0.01,0.96,1.00,729.5,717.8,681.6,382.5,149.1,102.7,54.9,76.6,70.5,76.0,53.9,98.4,145.5,310.5,1040.9,736.8,1187.7,-1206.0,1.0,1267.7,-1205.3,1.0,42.4,-1999.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
6,0.2487,100,0.01,0.87,1.00,728.6,716.7,680.4,382.5,150.4,104.2,56.2,77.6,71.4,77.0,55.2,100.9,146.8,310.5,1039.6,736.8,1186.8,-1206.0,1.0,1266.8,-1205.3,1.0,41.4,-1999.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
7,0.2487,100,0.01,0.78,1.00,727.7,715.8,679.4,382.5,151.6,105.0,57.5,78.5,72.3,78.0,56.5,103.1,147.9,310.5,1038.3,736.8,1185.9,-1206.0,1.0,1265.9,-1205.3,1.0,40.6,-1999.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
8,0.2487,100,0.01,0.71,1.00,726.9,714.9,678.5,382.5,152.6,105.7,58.6,79.4,73.1,78.8,57.6,104.5,148.9,310.5,1037.2,736.7,1185.1,-1206.0,1.0,1265.1,-1205.3,1.0,39.8,-1999.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
9,0.2487,100,0.01,0.64,1.00,726.2,714.2,677.7,382.5,153.6,106.4,59.6,80.2,73.8,79.6,58.6,105.2,149.9,310.5,1036.2,736.7,1184.4,-1206.0,1.0,1264.4,-1205.3,1.0,39.1,-1999.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
10,0.2487,100,0.00,0.58,1.00,725.6,713.5,676.9,382.5,154.5,107.0,60.5,80.8,74.4,80.2,59.5,105.8,150.7,310.5,1035.2,736.7,1183.8,-1206.0,1.0,1263.8,-1205.3,1.0,38.4,-1999.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
11,0.2487,100,0.00,0.53,1.00,725.0,712.8,676.2,382.5,155.3,107.6,61.4,81.5,75.0,80.9,60.3,106.3,151.5,310.5,1034.4,736.7,1183.2,-1206.0,1.0,1263.2,-1205.3,1.0,37.9,-1999.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
12,0.2487,100,0.00,0.48,1.00,724.5,712.3,675.6,382.5,156.0,108.1,62.1,82.1,75.5,81.5,61.0,106.8,152.2,310.5,1033.7,736.7,1182.7,-1206.0,1.0,1262.7,-1205.3,1.0,37.3,-1999.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
13,0.2487,100,0.00,0.43,1.00,724.0,711.8,675.0,382.5,156.6,108.5,62.8,82.1,76.0,82.0,61.7,107.2,152.8,310.5,1033.0,736.7,1182.2,-1206.0,1.0,1262.2,-1205.3,1.0,36.8,-1999.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
14,0.2487,100,0.00,0.39,1.00,723.6,711.3,674.5,382.5,157.2,108.9,63.4,82.1,76.4,82.4,62.3,107.6,153.4,310.5,1032.4,736.7,1181.8,-1206.0,1.0,1261.7,-1205.3,1.0,36.4,-1999.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
15,0.2487,100,0.00,0.36,1.00,723.2,710.9,674.0,382.5,157.8,109.3,64.0,82.1,76.8,82.9,62.9,108.0,153.9,310.5,1031.8,736.7,1181.4,-1206.0,1.0,1261.4,-1205.3,1.0,36.0,-1999.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
16,0.2487,100,0.00,0.32,1.00,722.8,710.5,673.6,382.5,158.2,109.6,64.5,82.2,77.2,83.2,63.4,108.3,154.3,310.5,1031.3,736.6,1181.0,-1206.0,1.0,1261.0,-1205.3,1.0,35.7,-1999.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
17,0.2487,100,0.00,0.29,1.00,722.5,710.1,673.2,382.5,158.7,109.9,65.0,82.2,77.5,83.6,63.8,108.6,154.8,310.5,1030.8,736.6,1180.7,-1206.0,1.0,1260.7,-1205.3,1.0,35.3,-1999.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
18,0.2487,100,0.00,0.27,1.00,722.2,709.8,672.9,382.5,159.1,110.2,65.4,82.2,77.8,83.9,64.2,108.9,155.2,310.5,1030.4,736.6,1180.4,-1206.0,1.0,1260.4,-1205.3,1.0,35.0,-1999.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
19,0.2487,100,0.00,0.24,1.00,721.9,709.5,672.6,382.5,159.4,110.4,65.8,82.2,78.1,84.2,64.6,109.1,155.5,310.5,1030.1,736.6,1180.1,-1206.0,1.0,1260.1,-1205.3,1.0,34.8,-1999.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
20,0.2404,100,-0.01,0.05,1.00,723.2,695.8,650.8,391.7,171.9,114.2,69.6,73.2,78.3,82.6,61.6,105.3,145.8,304.5,1080.5,656.9,1241.3,-1142.8,1.0,1321.2,-1138.0,1.0,138.9,-1995.1,1.0,1.0,1.0,2.0,0.0,0.0,-6,0,-544,0
21,0.2098,100,-0.26,-0.94,1.00,515.2,723.8,251.7,988.9,363.3,132.6,88.8,56.4,79.6,77.8,63.4,75.0,120.1,194.4,334.5,264.0,1437.5,-885.3,1.0,1514.9,-865.4,1.0,517.7,-1932.1,1.0,1.0,1.0,0.0,0.0,0.0,-36,0,-2000,0
22,0.1958,100,-0.44,-1.42,1.00,927.7,725.4,731.5,705.2,372.8,143.7,101.2,58.6,80.2,75.6,75.9,65.0,111.4,166.4,319.7,458.4,1511.5,-755.2,1.0,1586.9,-728.5,1.0,687.5,-1878.9,1.0,0.0,1.0,0.0,0.0,0.0,-21,0,-920,0
23,0.1633,100,-1.13,-2.49,1.00,251.5,735.7,529.5,266.9,409.4,188.8,115.2,68.9,58.0,73.6,74.9,57.3,78.7,127.9,298.5,359.6,1636.1,-432.9,1.0,1704.6,-391.5,1.0,1056.9,-1700.3,1.0,0.0,1.0,0.0,0.0,0.0,-50,0,-2128,0
24,0.1377,100,-1.70,-3.06,1.00,455.2,1219.0,732.9,273.1,709.9,366.0,128.9,82.3,49.2,73.0,69.6,77.9,57.7,109.9,168.0,327.6,1688.2,-164.2,1.0,1749.1,-112.3,1.0,1319.7,-1508.1,1.0,0.0,1.0,0.0,0.0,0.0,-37,0,-1680,0
25,0.1318,100,-1.62,-2.86,1.00,474.5,901.7,734.4,738.6,710.6,368.8,128.9,81.2,46.5,70.5,66.3,73.1,51.0,99.9,156.2,323.8,1696.6,-101.1,1.0,1755.6,-47.0,1.0,1377.9,-1457.6,1.0,0.0,1.0,0.0,0.0,0.0,-4,0,-384,0
26,0.1274,100,-1.49,-2.61,1.00,1025.7,804.7,736.7,732.6,699.6,370.9,128.1,79.2,43.7,67.2,63.4,69.0,54.6,85.1,148.0,321.6,1702.0,-53.4,1.0,1759.4,2.3,1.0,1420.8,-1418.2,1.0,1.0,1.0,1.0,0.0,0.0,-1,0,-288,0
27,0.1274,100,-1.35,-2.36,1.00,1029.3,809.4,739.3,735.5,702.4,369.3,123.2,72.6,40.1,63.2,60.8,66.2,56.7,78.0,146.0,323.2,1704.9,-52.7,1.0,1762.3,3.0,1.0,1423.7,-1417.5,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0
28,0.1274,100,-1.22,-2.14,1.00,1032.7,813.6,741.7,738.1,704.9,367.9,118.8,66.6,36.8,59.5,58.4,63.6,58.6,71.6,144.2,324.6,1707.5,-52.0,1.0,1764.9,3.7,1.0,1426.3,-1416.8,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
29,0.1274,100,-1.11,-1.94,1.00,1035.6,817.5,743.8,740.4,707.2,366.6,114.8,61.2,33.8,56.2,56.3,61.3,60.3,65.8,142.5,326.0,1709.9,-51.4,1.0,1767.3,4.3,1.0,1428.7,-1416.2,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
30,0.1274,100,-1.00,-1.76,1.00,1038.3,821.0,745.8,742.5,709.3,365.4,111.2,56.3,31.1,53.2,54.3,59.2,61.8,60.5,141.0,327.2,1712.1,-50.8,1.0,1769.5,4.9,1.0,1430.9,-1415.6,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
31,0.1274,100,-0.91,-1.59,1.00,1040.8,824.1,747.5,289.1,711.2,364.3,107.9,51.9,28.7,50.5,52.6,57.2,63.2,55.8,139.6,328.3,1714.0,-50.3,1.0,1771.5,5.4,1.0,1432.8,-1415.1,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
32,0.1274,100,-0.82,-1.44,1.00,1043.0,827.0,749.1,286.8,712.8,363.3,104.9,47.9,26.4,48.0,51.0,55.5,64.5,51.5,138.3,329.2,1715.8,-49.9,1.0,1773.2,5.8,1.0,1434.6,-1414.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
33,0.1274,100,-0.75,-1.31,1.00,1045.0,829.6,750.5,284.8,714.4,362.4,102.2,44.2,24.4,45.8,49.5,53.9,65.6,50.7,137.2,330.2,1717.4,-49.4,1.0,1774.8,6.3,1.0,1436.2,-1414.2,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
