tic,angle,health,momx,momy,weapon,ray0,ray1,ray2,ray3,ray4,ray5,ray6,ray7,ray8,ray9,ray10,ray11,ray12,ray13,ray14,ray15,m0_dx,m0_dy,m0_present,m1_dx,m1_dy,m1_present,m2_dx,m2_dy,m2_present,last_fwd,last_side,last_turn,last_fire,last_use,cmd_fwd,cmd_side,cmd_turn,cmd_buttons
0,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
1,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
3,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
4,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
5,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
6,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
7,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
8,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
9,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
10,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
11,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
12,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
13,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
14,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
15,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
16,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
17,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
18,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
19,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
20,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
21,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
22,0.2500,80,0.00,0.00,1.00,144.0,155.8,203.6,207.8,192.0,125.5,90.5,69.3,64.0,51.9,67.8,125.3,128.0,138.5,180.9,155.9,464.0,-320.0,1.0,784.0,-256.0,1.0,784.0,384.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
