tic,angle,health,momx,momy,weapon,ray0,ray1,ray2,ray3,ray4,ray5,ray6,ray7,ray8,ray9,ray10,ray11,ray12,ray13,ray14,ray15,m0_dx,m0_dy,m0_present,m1_dx,m1_dy,m1_present,m2_dx,m2_dy,m2_present,last_fwd,last_side,last_turn,last_fire,last_use,cmd_fwd,cmd_side,cmd_turn,cmd_buttons
0,0.2500,100,0.00,0.00,1.00,736.0,727.2,693.1,381.1,138.7,83.7,45.2,69.3,64.0,69.2,45.2,83.5,138.6,311.7,1041.2,751.9,1184.0,-1216.0,1.0,800.0,-1856.0,1.0,-800.0,-1952.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
1,0.2500,100,0.00,0.00,1.00,736.0,727.2,693.1,381.1,138.7,83.7,45.2,69.3,64.0,69.2,45.2,83.5,138.6,311.7,1041.2,751.9,1184.0,-1216.0,1.0,800.0,-1856.0,1.0,-800.0,-1952.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2,0.5510,100,-1.34,-0.45,1.00,99.7,48.2,68.0,63.7,66.9,51.2,70.2,127.5,305.0,382.7,645.3,738.4,708.5,662.7,392.2,151.5,-1528.7,-740.5,1.0,-2015.1,-174.3,1.0,-1602.0,1374.4,1.0,1.0,1.0,2.0,0.0,0.0,50,0,19728,0
3,0.5510,100,-1.22,-0.40,1.00,98.2,47.5,65.0,63.2,66.4,53.2,69.2,128.2,306.4,384.4,648.3,738.9,709.0,662.9,390.7,149.4,-1530.1,-740.5,1.0,-2016.5,-174.3,1.0,-1603.4,1374.4,1.0,2.0,1.0,4.0,0.0,0.0,0,0,0,0
4,0.5510,100,-1.10,-0.37,1.00,97.0,46.8,62.3,62.8,66.0,55.1,68.3,128.8,307.7,386.1,651.0,739.3,709.4,663.1,389.3,147.4,-1531.4,-740.5,1.0,-2017.8,-174.3,1.0,-1604.7,1374.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
5,0.5510,100,-1.00,-0.33,1.00,95.8,46.3,59.8,62.4,65.6,56.8,67.5,129.4,308.8,387.5,653.5,739.7,709.8,663.2,388.1,145.7,-1532.6,-740.5,1.0,-2019.0,-174.3,1.0,-1605.9,1374.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
6,0.5510,100,-0.91,-0.30,1.00,94.8,45.8,57.6,62.1,65.2,58.3,66.8,129.9,309.9,388.8,655.7,740.0,710.1,663.4,387.0,144.1,-1533.6,-740.5,1.0,-2020.0,-174.3,1.0,-1606.9,1374.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
7,0.5510,100,-0.82,-0.27,1.00,93.8,45.3,55.6,61.8,64.9,59.7,66.1,130.3,310.8,390.0,657.7,740.3,710.5,663.6,385.9,142.6,-1534.6,-740.5,1.0,-2021.0,-174.3,1.0,-1607.9,1374.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
8,0.5510,100,-0.74,-0.25,1.00,92.9,44.9,53.8,61.5,64.7,60.9,65.5,130.8,311.7,391.1,659.6,740.6,710.8,663.7,385.0,141.3,-1535.5,-740.5,1.0,-2021.8,-174.3,1.0,-1608.7,1374.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
9,0.5510,100,-0.67,-0.22,1.00,92.2,44.5,52.1,61.3,64.4,62.1,64.9,131.1,312.5,392.1,661.2,740.8,711.0,663.8,384.2,140.1,-1536.2,-740.5,1.0,-2022.6,-174.3,1.0,-1609.5,1374.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
10,0.5510,100,-0.61,-0.20,1.00,91.4,44.2,50.6,61.1,64.2,63.1,64.4,131.5,313.2,393.0,662.7,741.0,711.2,663.9,383.4,139.0,-1537.0,-740.5,1.0,-2023.3,-174.3,1.0,-1610.2,1374.4,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
