tic,angle,health,momx,momy,weapon,ray0,ray1,ray2,ray3,ray4,ray5,ray6,ray7,ray8,ray9,ray10,ray11,ray12,ray13,ray14,ray15,m0_dx,m0_dy,m0_present,m1_dx,m1_dy,m1_present,m2_dx,m2_dy,m2_present,last_fwd,last_side,last_turn,last_fire,last_use,cmd_fwd,cmd_side,cmd_turn,cmd_buttons
2389,0.7578,98,0.10,-0.23,1.00,451.8,216.0,400.5,315.1,72.7,78.5,89.5,126.2,1502.5,204.5,133.6,122.3,343.8,379.8,511.1,411.4,196.8,7.9,1.0,-493.3,-1.6,1.0,-610.1,363.4,1.0,1.0,1.0,3.0,0.0,0.0,0,0,256,0
2390,0.7617,98,0.09,-0.21,1.00,452.3,218.3,391.8,312.3,72.7,78.8,90.7,130.3,1516.8,194.7,132.4,122.5,344.4,384.4,257.7,407.7,196.7,3.0,1.0,-493.4,10.4,1.0,-606.5,384.3,1.0,1.0,1.0,3.0,0.0,0.0,0,0,256,0
2391,0.7734,98,0.08,-0.19,1.00,391.1,227.1,369.2,305.6,73.2,79.8,95.1,166.2,1258.7,170.4,129.0,123.0,347.3,400.4,242.7,398.8,196.2,-11.6,1.0,-491.5,46.6,1.0,-576.8,427.8,1.0,1.0,1.0,3.0,0.0,0.0,0,0,768,0
2392,0.7812,98,0.08,-0.17,1.00,394.2,464.9,356.5,302.2,73.8,80.8,98.6,206.5,450.1,157.8,127.3,122.0,350.3,413.2,234.2,448.3,195.2,-21.2,1.0,-488.9,70.6,1.0,-555.3,455.6,1.0,1.0,1.0,4.0,0.0,0.0,0,0,512,0
2393,0.7930,98,0.07,-0.16,1.00,401.1,481.8,340.6,298.5,75.0,82.7,104.8,328.1,329.3,147.6,125.2,120.6,356.6,435.8,242.7,453.9,192.9,-35.6,1.0,-475.5,110.4,1.0,-524.5,502.2,1.0,1.0,1.0,4.0,0.0,0.0,0,0,768,1
2394,0.8008,98,0.06,-0.14,1.00,230.0,453.7,331.7,297.0,76.0,84.2,109.8,1190.0,280.2,143.2,124.3,120.1,362.0,453.8,432.6,475.6,190.7,-45.0,1.0,-469.7,133.5,1.0,-499.4,527.3,1.0,1.0,1.0,4.0,1.0,0.0,0,0,512,1
2395,0.8125,98,0.06,-0.13,1.00,210.2,419.0,320.6,72.2,78.1,87.0,118.8,1317.7,229.8,137.7,123.4,119.8,372.1,486.1,418.1,474.2,186.8,-58.9,1.0,-458.7,167.7,1.0,-459.4,562.6,1.0,1.0,1.0,4.0,1.0,0.0,0,0,768,0
2396,0.8203,98,0.05,-0.12,1.00,214.7,399.8,314.5,72.2,78.4,89.3,126.1,1503.7,205.8,134.6,123.2,344.3,380.3,511.9,410.1,450.6,183.5,-68.0,1.0,-450.1,190.0,1.0,-434.1,592.1,1.0,1.0,1.0,4.0,0.0,0.0,0,0,512,0
2397,0.8320,98,0.05,-0.11,1.00,222.9,375.6,307.2,72.6,79.3,93.4,149.9,1255.4,178.5,130.8,123.4,346.5,395.2,246.1,400.5,388.8,177.9,-81.3,1.0,-427.2,224.8,1.0,-389.5,622.5,1.0,1.0,1.0,4.0,0.0,0.0,0,0,768,0
2398,0.8398,98,0.04,-0.10,1.00,229.5,362.1,303.4,73.1,80.2,96.7,182.2,515.8,164.6,128.8,123.0,349.1,407.1,237.1,400.9,391.6,173.6,-89.9,1.0,-415.8,245.5,1.0,-358.6,640.9,1.0,1.0,1.0,4.0,0.0,0.0,0,0,512,0
2399,0.8516,98,0.04,-0.09,1.00,480.4,345.1,299.2,74.2,81.9,102.5,271.7,362.9,150.7,126.4,121.3,354.6,428.2,233.3,454.7,397.6,166.4,-102.4,1.0,-396.7,275.5,1.0,-311.8,673.6,1.0,1.0,1.0,4.0,0.0,0.0,0,0,768,1
2400,0.8594,98,0.03,-0.08,1.00,466.2,335.6,297.3,75.1,83.3,107.1,405.8,303.8,146.0,125.3,120.7,359.5,445.0,254.5,476.0,402.9,161.1,-110.4,1.0,-382.8,294.6,1.0,-278.5,688.1,1.0,1.0,1.0,4.0,1.0,0.0,0,0,512,1
2401,0.8711,98,0.03,-0.07,1.00,428.9,323.7,296.0,77.0,85.9,115.5,1209.5,245.1,139.9,124.1,120.1,368.8,474.9,421.8,473.7,207.4,152.4,-121.9,1.0,-352.0,322.2,1.0,-227.2,706.7,1.0,1.0,1.0,4.0,1.0,0.0,0,0,768,0
2402,0.8789,98,0.03,-0.07,1.00,408.3,317.1,71.9,78.2,88.1,122.2,1405.7,217.7,136.6,123.8,344.2,376.4,498.9,413.2,449.6,211.6,146.2,-129.2,1.0,-335.9,339.1,1.0,-192.1,725.2,1.0,1.0,1.0,4.0,0.0,0.0,0,0,512,0
2403,0.8906,98,0.03,-0.06,1.00,382.6,309.2,72.2,78.9,91.9,137.0,1541.1,187.2,132.4,123.7,345.8,390.2,250.3,402.8,407.9,219.3,136.2,-139.6,1.0,-310.1,362.9,1.0,-138.3,737.4,1.0,1.0,1.0,4.0,0.0,0.0,0,0,768,0
2404,0.8906,98,0.00,0.00,1.00,382.5,309.1,72.1,78.9,91.9,136.9,1541.1,187.2,132.5,123.8,345.8,390.2,250.2,402.8,407.7,219.2,136.1,-139.6,1.0,-310.1,363.0,1.0,-138.3,737.4,1.0,1.0,1.0,4.0,0.0,0.0,0,0,0,0
2405,0.8906,98,0.00,0.00,1.00,382.5,309.1,72.1,78.9,91.9,136.9,1541.1,187.2,132.5,123.8,345.8,390.2,250.2,402.8,407.7,219.2,128.1,-138.8,1.0,-302.1,362.2,1.0,-137.5,745.5,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,1
2406,0.8789,98,0.00,0.00,1.00,408.2,317.1,71.8,78.1,88.1,122.2,1405.7,217.8,136.7,123.8,344.3,376.4,499.0,413.1,449.5,211.5,137.9,-129.0,1.0,-327.9,339.0,1.0,-192.0,733.3,1.0,1.0,1.0,2.0,1.0,0.0,0,0,-768,0
2407,0.8711,98,0.00,0.00,1.00,428.8,323.6,295.9,76.9,85.9,115.4,1209.6,245.3,140.1,124.3,120.2,368.8,475.1,421.6,473.5,207.2,144.1,-122.1,1.0,-344.1,322.5,1.0,-227.8,723.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,-512,0
2408,0.8594,98,0.00,0.00,1.00,466.0,335.5,297.2,75.0,83.3,107.1,404.5,304.2,146.2,125.5,120.8,359.6,445.1,254.8,475.7,402.7,144.6,-111.9,1.0,-366.9,296.3,1.0,-281.1,712.4,1.0,1.0,1.0,0.0,0.0,0.0,0,0,-768,0
