tic,angle,health,momx,momy,weapon,ray0,ray1,ray2,ray3,ray4,ray5,ray6,ray7,ray8,ray9,ray10,ray11,ray12,ray13,ray14,ray15,m0_dx,m0_dy,m0_present,m1_dx,m1_dy,m1_present,m2_dx,m2_dy,m2_present,last_fwd,last_side,last_turn,last_fire,last_use,cmd_fwd,cmd_side,cmd_turn,cmd_buttons
0,0.6953,100,-0.48,-1.33,1.00,168.3,158.7,175.3,235.9,295.6,274.2,142.1,66.8,52.5,49.5,54.7,73.6,85.2,81.6,91.7,126.5,540.9,-43.8,1.0,562.5,-104.1,1.0,661.4,-0.7,1.0,1.0,1.0,2.0,0.0,0.0,50,0,-3584,0
1,0.6953,100,-0.43,-1.21,1.00,166.9,157.4,173.8,234.0,296.1,274.8,142.7,68.6,54.0,50.8,56.2,75.6,84.8,81.2,91.2,125.8,539.5,-43.8,1.0,561.1,-104.1,1.0,660.0,-0.7,1.0,2.0,1.0,0.0,0.0,0.0,0,0,0,0
2,0.6953,100,-0.39,-1.10,1.00,165.6,156.2,172.5,232.2,296.7,275.2,143.1,70.2,55.2,52.1,57.5,77.4,84.4,80.8,90.8,125.2,538.2,-43.8,1.0,559.8,-104.1,1.0,658.7,-0.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
3,0.6953,100,-0.35,-0.99,1.00,164.5,155.1,171.3,230.5,297.1,275.7,143.6,71.7,56.4,53.2,58.7,79.0,84.0,80.4,90.3,124.7,537.0,-43.8,1.0,558.6,-104.1,1.0,657.6,-0.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
4,0.6953,100,-0.32,-0.90,1.00,163.4,154.1,170.2,229.1,297.5,276.1,144.0,73.0,57.5,54.2,59.8,80.5,83.7,80.1,90.0,124.2,536.0,-43.8,1.0,557.6,-104.1,1.0,656.5,-0.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
5,0.6953,100,-0.29,-0.82,1.00,162.5,153.2,169.2,227.7,297.9,276.4,144.3,74.2,58.4,55.1,60.8,81.8,83.4,79.8,89.7,123.8,535.0,-43.8,1.0,556.6,-104.1,1.0,655.6,-0.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
6,0.6953,100,-0.35,-0.98,1.00,161.3,152.1,168.0,226.1,298.4,276.8,144.8,75.7,59.6,56.1,62.0,83.5,83.0,79.5,89.3,123.2,533.9,-43.8,1.0,555.4,-104.1,1.0,654.4,-0.7,1.0,1.0,1.0,2.0,0.0,0.0,9,0,0,0
7,0.6953,100,-0.32,-0.89,1.00,160.3,151.1,166.9,224.7,298.8,277.2,145.1,77.0,60.6,57.1,63.1,84.9,82.7,79.2,88.9,122.7,532.8,-43.8,1.0,554.4,-104.1,1.0,653.4,-0.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
8,0.6953,100,-0.29,-0.80,1.00,159.3,150.2,165.9,223.3,299.2,277.6,145.5,78.2,61.5,58.0,64.1,86.2,82.4,78.9,88.6,122.3,531.9,-43.8,1.0,553.5,-104.1,1.0,652.4,-0.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
9,0.6953,100,-0.26,-0.73,1.00,158.5,149.4,165.1,222.1,299.5,277.9,145.8,79.3,62.4,58.8,65.0,87.4,82.2,78.7,88.3,121.9,531.1,-43.8,1.0,552.6,-104.1,1.0,651.6,-0.7,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
