tic,angle,health,momx,momy,weapon,ray0,ray1,ray2,ray3,ray4,ray5,ray6,ray7,ray8,ray9,ray10,ray11,ray12,ray13,ray14,ray15,m0_dx,m0_dy,m0_present,m1_dx,m1_dy,m1_present,m2_dx,m2_dy,m2_present,last_fwd,last_side,last_turn,last_fire,last_use,cmd_fwd,cmd_side,cmd_turn,cmd_buttons
0,0.2461,100,0.01,0.42,1.00,143.6,153.8,198.1,210.1,192.1,134.8,88.3,70.5,64.5,51.9,66.9,119.5,128.0,137.2,176.7,157.0,471.2,-308.5,1.0,454.0,395.3,1.0,778.6,211.2,1.0,1.0,1.0,2.0,0.0,0.0,15,0,-256,0
1,0.2461,100,0.01,0.38,1.00,143.1,153.3,197.5,210.1,192.1,136.0,88.3,71.0,64.9,52.4,67.5,120.5,128.0,137.1,176.6,156.6,470.8,-308.5,1.0,453.5,395.3,1.0,778.2,211.2,1.0,2.0,1.0,1.0,0.0,0.0,0,0,0,0
2,0.2461,100,0.01,0.35,1.00,142.8,152.9,197.0,210.1,192.1,137.0,88.4,71.4,65.3,52.8,68.0,121.5,128.0,137.1,176.6,156.1,470.4,-308.5,1.0,453.2,395.3,1.0,777.8,211.2,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
3,0.2461,100,0.01,0.32,1.00,142.4,152.6,196.5,210.1,192.1,138.0,88.4,71.8,65.6,53.2,68.5,122.3,128.0,137.1,176.6,155.8,470.1,-308.5,1.0,452.8,395.3,1.0,777.4,211.2,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
4,0.2461,100,0.01,0.29,1.00,142.1,152.2,196.1,210.1,192.1,138.9,88.4,72.1,65.9,53.5,68.9,123.1,128.0,137.1,176.6,155.4,469.8,-308.5,1.0,452.5,395.3,1.0,777.1,211.2,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
5,0.2461,100,0.01,0.26,1.00,141.8,151.9,195.7,210.1,192.1,139.7,88.4,72.4,66.2,53.8,69.3,123.8,128.0,137.1,176.6,155.1,469.5,-308.5,1.0,452.2,395.3,1.0,776.8,211.2,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
6,0.2461,100,0.01,0.24,1.00,141.5,151.6,195.3,210.1,192.1,140.4,88.4,72.7,66.5,54.1,69.7,124.5,128.0,137.1,176.6,154.8,469.2,-308.5,1.0,451.9,395.3,1.0,776.6,211.2,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
7,0.2461,100,0.01,0.52,1.00,141.0,151.0,194.5,210.1,192.1,142.0,88.4,73.3,67.1,54.7,70.5,125.9,127.9,137.1,176.6,154.2,468.6,-308.5,1.0,451.4,395.3,1.0,776.0,211.2,1.0,1.0,1.0,2.0,0.0,0.0,11,0,0,0
8,0.2461,100,0.01,0.48,1.00,140.4,150.5,193.8,210.1,192.1,143.5,88.4,73.9,67.6,55.3,71.2,127.2,127.9,137.1,176.5,153.6,468.1,-308.5,1.0,450.8,395.3,1.0,775.5,211.2,1.0,2.0,1.0,2.0,0.0,0.0,0,0,0,0
9,0.2461,100,0.01,0.43,1.00,140.0,149.9,193.1,210.2,192.2,144.8,88.5,74.4,68.1,55.8,71.8,128.4,127.9,137.1,176.5,153.1,467.6,-308.5,1.0,450.4,395.3,1.0,775.0,211.2,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
10,0.2461,100,0.01,0.39,1.00,139.5,149.5,192.5,210.2,192.2,146.0,88.5,74.9,68.5,56.2,72.4,129.4,127.9,137.0,176.5,152.6,467.2,-308.5,1.0,449.9,395.3,1.0,774.6,211.2,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
