tic,angle,health,momx,momy,weapon,ray0,ray1,ray2,ray3,ray4,ray5,ray6,ray7,ray8,ray9,ray10,ray11,ray12,ray13,ray14,ray15,m0_dx,m0_dy,m0_present,m1_dx,m1_dy,m1_present,m2_dx,m2_dy,m2_present,last_fwd,last_side,last_turn,last_fire,last_use,cmd_fwd,cmd_side,cmd_turn,cmd_buttons
0,0.2500,100,0.00,0.00,1.00,688.0,531.5,350.8,253.2,204.8,146.2,113.2,86.6,112.0,86.6,113.1,148.0,212.8,262.9,361.9,548.9,592.0,-128.0,1.0,688.0,-480.0,1.0,784.0,-608.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
1,0.2500,100,0.00,0.00,1.00,688.0,531.5,350.8,253.2,204.8,146.2,113.2,86.6,112.0,86.6,113.1,148.0,212.8,262.9,361.9,548.9,592.0,-128.0,1.0,688.0,-480.0,1.0,784.0,-608.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2,0.2500,100,0.00,0.00,1.00,688.0,531.5,350.8,253.2,204.8,146.2,113.2,86.6,112.0,86.6,113.1,148.0,212.8,262.9,361.9,548.9,592.0,-128.0,1.0,688.0,-480.0,1.0,784.0,-608.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
3,0.2500,100,0.00,0.00,1.00,688.0,531.5,350.8,253.2,204.8,146.2,113.2,86.6,112.0,86.6,113.1,148.0,212.8,262.9,361.9,548.9,592.0,-128.0,1.0,688.0,-480.0,1.0,784.0,-608.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
4,0.2500,100,0.00,0.00,1.00,688.0,531.5,350.8,253.2,204.8,146.2,113.2,86.6,112.0,86.6,113.1,148.0,212.8,262.9,361.9,548.9,592.0,-128.0,1.0,688.0,-480.0,1.0,784.0,-608.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
5,0.2500,100,0.00,0.00,1.00,688.0,531.5,350.8,253.2,204.8,146.2,113.2,86.6,112.0,86.6,113.1,148.0,212.8,262.9,361.9,548.9,592.0,-128.0,1.0,688.0,-480.0,1.0,784.0,-608.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
6,0.2500,100,0.00,-0.11,1.00,688.1,531.6,350.8,253.2,204.8,146.1,113.0,86.5,111.9,86.4,112.9,147.9,212.7,262.9,361.9,549.0,592.1,-128.0,1.0,688.1,-480.0,1.0,784.1,-608.0,1.0,1.0,1.0,2.0,0.0,0.0,-4,0,0,0
7,0.2500,100,0.00,-0.10,1.00,688.2,531.7,350.8,253.1,204.8,146.0,112.8,86.3,111.8,86.3,112.8,147.8,212.7,262.8,361.9,549.1,592.2,-128.0,1.0,688.2,-480.0,1.0,784.2,-608.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
8,0.2500,100,0.00,-0.09,1.00,688.3,531.8,350.8,253.1,204.7,145.9,112.7,86.2,111.7,86.2,112.6,147.7,212.7,262.8,361.9,549.1,592.3,-128.0,1.0,688.3,-480.0,1.0,784.3,-608.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
9,0.2500,100,0.00,-0.08,1.00,688.4,531.8,350.8,253.0,204.7,145.8,112.5,86.1,111.6,86.1,112.5,147.6,212.6,262.8,361.9,549.2,592.4,-128.0,1.0,688.4,-480.0,1.0,784.4,-608.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
10,0.2500,100,-0.00,1.34,1.00,686.9,530.9,350.8,253.6,205.1,147.3,114.7,87.7,113.0,87.7,114.6,149.2,213.1,263.3,361.9,548.3,591.0,-128.0,1.0,687.0,-480.0,1.0,783.0,-608.0,1.0,1.0,1.0,2.0,0.0,0.0,50,0,0,0
11,0.2500,100,-0.00,2.63,1.00,684.1,529.1,350.8,254.7,206.0,150.4,118.8,90.9,115.9,90.8,118.7,152.4,213.9,264.4,361.9,546.7,588.1,-128.0,1.0,684.1,-480.0,1.0,780.1,-608.0,1.0,2.0,1.0,2.0,0.0,0.0,50,0,0,0
12,0.2500,100,-0.00,3.80,1.00,679.8,526.6,350.8,256.2,207.2,154.8,124.7,95.4,120.1,95.4,124.6,157.0,215.2,265.9,361.9,544.3,583.9,-128.0,1.0,679.9,-480.0,1.0,775.9,-608.0,1.0,2.0,1.0,2.0,0.0,0.0,50,0,0,0
13,0.2500,100,-0.00,4.86,1.00,674.5,523.3,350.8,258.2,208.8,160.4,132.2,101.2,125.5,101.2,132.2,162.9,216.8,267.9,361.9,539.8,578.5,-128.0,1.0,674.5,-480.0,1.0,770.5,-608.0,1.0,2.0,1.0,2.0,0.0,0.0,50,0,0,0
14,0.2500,100,-0.00,5.82,1.00,668.1,519.3,350.8,260.6,210.8,167.2,139.2,108.2,131.9,108.1,139.3,169.9,218.8,270.3,361.9,533.3,572.1,-128.0,1.0,668.1,-480.0,1.0,764.1,-608.0,1.0,2.0,1.0,2.0,0.0,0.0,50,0,0,0
15,0.2539,100,-0.04,6.69,1.00,660.9,504.8,342.5,258.2,211.5,171.9,144.8,115.0,139.3,117.3,147.0,181.5,222.7,278.8,371.2,522.6,561.4,-141.9,1.0,648.7,-496.1,1.0,741.5,-626.4,1.0,2.0,1.0,2.0,0.0,0.0,50,0,256,0
16,0.2539,100,-0.07,7.48,1.00,652.6,499.8,342.4,261.1,213.8,180.4,152.0,123.8,147.6,126.4,154.5,190.8,225.3,280.1,371.3,514.2,553.1,-141.7,1.0,640.5,-496.0,1.0,733.3,-626.3,1.0,2.0,1.0,3.0,0.0,0.0,50,0,0,0
17,0.2617,100,-0.17,8.19,1.00,645.2,476.6,327.2,254.8,213.7,183.6,158.3,131.2,157.0,139.4,165.4,209.7,232.2,286.9,392.2,500.0,536.5,-168.2,1.0,606.3,-526.3,1.0,692.7,-661.1,1.0,2.0,1.0,2.0,0.0,0.0,50,0,512,0
18,0.2617,100,-0.26,8.83,1.00,635.4,470.6,326.8,257.8,216.3,193.2,166.5,141.5,166.8,150.3,174.5,220.1,235.5,287.2,392.7,490.2,526.7,-167.8,1.0,596.6,-525.9,1.0,682.9,-660.6,1.0,2.0,1.0,4.0,0.0,0.0,50,0,0,0
19,0.2617,100,-0.34,9.42,1.00,625.0,464.2,326.3,260.2,219.0,203.4,175.3,152.4,177.2,162.0,184.3,223.4,239.1,287.6,393.2,479.9,516.4,-167.4,1.0,586.2,-525.5,1.0,912.9,-228.7,1.0,2.0,1.0,2.0,0.0,0.0,50,0,0,0
20,0.2617,100,-0.41,9.95,1.00,614.0,457.4,325.8,259.7,221.8,214.1,184.5,164.0,188.2,174.3,194.6,227.0,242.9,288.1,393.9,468.9,505.4,-167.0,1.0,575.2,-525.2,1.0,901.9,-228.4,1.0,2.0,1.0,2.0,0.0,0.0,50,0,0,0
21,0.2617,100,-0.48,10.43,1.00,602.4,450.2,325.0,259.2,224.7,222.7,194.2,176.1,199.7,187.2,205.5,230.8,247.0,288.7,394.7,457.4,493.9,-166.7,1.0,563.7,-524.8,1.0,890.4,-228.1,1.0,2.0,1.0,2.0,0.0,0.0,50,0,0,0
22,0.2617,100,-0.54,10.86,1.00,590.4,442.6,324.2,258.5,227.6,225.7,204.2,188.7,211.8,200.6,216.8,234.8,251.3,289.4,395.6,445.4,481.9,-166.4,1.0,551.7,-524.5,1.0,878.4,-227.8,1.0,2.0,1.0,2.0,0.0,0.0,50,0,0,0
23,0.2617,100,-0.59,11.25,1.00,578.0,434.7,323.4,257.8,230.6,228.6,214.6,201.8,224.2,214.5,228.6,239.0,255.8,290.1,394.8,433.0,469.4,-166.2,1.0,539.3,-524.3,1.0,866.0,-227.5,1.0,2.0,1.0,2.0,0.0,0.0,50,0,0,0
24,0.2617,100,-0.64,11.61,1.00,565.1,426.5,322.5,257.1,233.7,231.7,225.2,215.3,237.0,227.4,240.8,243.4,260.4,290.9,389.7,420.2,456.6,-165.9,1.0,526.4,-524.0,1.0,853.2,-227.3,1.0,2.0,1.0,2.0,0.0,0.0,50,0,0,0
25,0.2617,100,-0.68,11.94,1.00,551.9,418.1,321.5,256.3,236.8,234.8,236.2,229.2,250.2,239.2,253.3,247.9,261.3,291.8,384.3,407.1,443.4,-165.7,1.0,513.3,-523.8,1.0,840.0,-227.1,1.0,2.0,1.0,2.0,0.0,0.0,50,0,0,0
26,0.2617,100,-0.73,12.23,1.00,538.4,404.8,320.4,255.5,240.0,238.0,247.4,243.4,263.8,251.3,266.2,252.5,262.1,292.6,378.9,393.7,429.9,-165.5,1.0,499.7,-523.6,1.0,826.5,-226.9,1.0,2.0,1.0,2.0,0.0,0.0,50,0,0,0
27,0.2617,100,-0.84,13.79,1.00,524.6,390.4,319.3,254.6,242.3,241.2,258.9,257.9,277.6,263.7,279.3,257.3,263.0,293.6,373.4,379.9,416.1,-165.3,1.0,485.9,-523.5,1.0,812.6,-226.7,1.0,2.0,1.0,2.0,0.0,0.0,50,0,0,0
28,0.2617,100,-0.84,13.79,1.00,510.7,376.1,318.2,253.7,241.5,244.4,270.3,272.4,291.4,276.1,287.0,262.1,263.8,294.5,367.9,366.2,402.3,-165.2,1.0,472.1,-523.3,1.0,798.8,-226.5,1.0,2.0,1.0,2.0,0.0,0.0,25,0,0,0
29,0.2617,100,-0.84,13.79,1.00,496.9,361.7,317.1,252.8,240.7,247.6,281.8,285.8,305.2,288.5,292.2,266.8,264.7,295.5,362.4,352.4,388.5,-165.0,1.0,458.3,-523.1,1.0,785.0,-226.3,1.0,2.0,1.0,2.0,0.0,0.0,25,0,0,0
30,0.2617,100,-0.84,13.79,1.00,483.1,347.3,313.7,251.9,239.8,250.8,292.8,297.4,319.1,300.9,297.4,271.6,265.5,296.4,356.9,338.7,374.7,-164.8,1.0,444.5,-522.9,1.0,771.2,-226.2,1.0,2.0,1.0,2.0,0.0,0.0,25,0,0,0
31,0.2656,100,-0.84,13.79,1.00,470.2,335.6,304.7,249.1,239.5,255.2,301.4,310.9,333.6,313.0,299.5,276.3,266.9,301.2,355.5,756.6,356.7,-173.5,1.0,417.7,-533.2,1.0,751.6,-244.5,1.0,2.0,1.0,2.0,0.0,0.0,29,0,256,0
32,0.2734,100,-0.84,13.79,1.00,459.2,326.9,294.8,244.8,240.1,261.3,313.2,323.5,317.2,325.3,298.9,274.8,269.4,310.6,348.4,732.2,334.0,-189.6,1.0,377.3,-551.8,1.0,725.0,-279.9,1.0,2.0,1.0,3.0,0.0,0.0,33,0,512,0
33,0.2773,100,-0.91,13.33,1.00,446.1,314.2,285.9,242.4,240.0,266.4,324.7,336.7,333.4,338.9,301.8,274.2,271.5,312.4,327.7,712.8,314.6,-196.2,1.0,349.0,-559.4,1.0,703.2,-296.1,1.0,2.0,1.0,4.0,0.0,0.0,30,0,256,0
34,0.2891,100,-1.06,13.02,1.00,342.4,304.9,274.4,237.9,242.6,275.9,335.7,346.6,353.4,354.1,300.8,271.6,276.9,311.3,301.4,672.4,285.1,-216.4,1.0,292.7,-581.2,1.0,665.3,-344.7,1.0,2.0,1.0,3.0,0.0,0.0,34,0,768,0
35,0.3008,100,-1.26,12.71,1.00,264.3,287.1,261.9,234.6,246.3,287.2,348.2,357.9,371.9,352.1,301.5,270.8,284.3,312.2,278.7,412.2,254.6,-233.7,1.0,235.4,-598.1,1.0,624.4,-389.6,1.0,2.0,1.0,4.0,0.0,0.0,34,0,768,0
36,0.3125,100,-1.51,12.41,1.00,253.9,271.7,251.4,232.3,251.4,300.5,362.2,402.6,380.2,343.5,294.2,271.7,294.1,313.6,690.0,397.4,223.5,-248.1,1.0,177.4,-610.1,1.0,580.8,-430.8,1.0,2.0,1.0,4.0,0.0,0.0,34,0,768,0
37,0.3242,100,-1.78,12.05,1.00,245.0,258.2,242.6,230.9,257.8,316.0,378.1,417.0,390.2,337.5,288.2,274.4,292.3,282.7,674.2,385.1,191.8,-259.7,1.0,119.3,-617.2,1.0,534.7,-468.1,1.0,2.0,1.0,4.0,0.0,0.0,32,0,768,0
38,0.3359,100,-2.11,11.75,1.00,237.2,246.5,235.1,230.5,265.8,334.4,396.2,401.2,402.2,333.9,284.5,279.0,290.4,256.4,646.6,375.2,159.9,-268.4,1.0,61.3,-619.7,1.0,486.5,-501.5,1.0,2.0,1.0,4.0,0.0,0.0,34,0,768,0
39,0.3438,100,-2.33,11.28,1.00,228.3,236.8,229.8,229.8,271.0,349.0,412.8,417.3,415.2,334.8,284.0,284.0,289.4,236.8,626.8,365.7,134.8,-271.1,1.0,19.0,-617.2,1.0,449.6,-520.0,1.0,2.0,1.0,4.0,0.0,0.0,27,0,512,0
40,0.3555,100,-2.69,10.96,1.00,222.7,227.5,224.1,230.8,282.1,373.5,424.6,437.2,400.2,323.7,283.7,287.3,280.3,246.4,349.2,264.5,103.1,-275.2,1.0,-37.8,-611.8,1.0,398.7,-546.5,1.0,2.0,1.0,4.0,0.0,0.0,33,0,768,0
41,0.3711,100,-3.16,10.69,1.00,221.7,219.4,219.0,234.7,302.2,407.7,433.3,443.2,383.6,311.8,285.1,282.3,243.0,628.8,334.9,187.2,64.7,-278.4,1.0,-108.5,-599.5,1.0,332.3,-577.4,1.0,2.0,1.0,4.0,0.0,0.0,37,0,1024,0
42,0.3828,100,-3.54,10.30,1.00,216.2,212.3,215.3,237.8,314.6,420.7,477.1,451.3,376.9,306.9,289.3,280.5,217.3,615.5,323.8,178.3,33.5,-276.6,1.0,-162.9,-584.1,1.0,278.4,-594.5,1.0,2.0,1.0,4.0,0.0,0.0,32,0,768,0
43,0.3945,100,-3.92,9.89,1.00,203.8,206.1,212.3,242.1,328.8,435.8,491.1,461.6,372.1,304.3,293.9,278.1,216.5,589.9,314.8,170.4,2.9,-272.4,1.0,-215.5,-564.6,1.0,223.8,-607.4,1.0,2.0,1.0,4.0,0.0,0.0,32,0,768,0
44,0.4062,100,-4.31,9.47,1.00,192.7,200.6,210.0,247.7,345.9,453.3,475.0,460.5,358.5,303.9,287.8,240.0,593.7,308.0,277.3,163.4,-26.9,-265.8,1.0,-266.2,-541.2,1.0,168.7,-616.2,1.0,2.0,1.0,4.0,0.0,0.0,32,0,768,0
45,0.4141,100,-4.70,9.06,1.00,182.7,194.0,207.0,249.9,358.1,468.6,490.6,452.8,353.6,306.5,285.3,214.8,620.5,295.3,201.1,155.3,-49.5,-258.3,1.0,-302.0,-521.6,1.0,128.7,-617.8,1.0,2.0,1.0,4.0,0.0,0.0,33,0,512,0
46,0.4180,100,-4.93,8.59,1.00,173.3,185.9,202.7,247.7,363.0,479.5,503.6,454.6,354.8,311.0,285.1,197.7,600.8,284.8,162.8,145.7,-65.2,-251.4,1.0,-324.2,-508.4,1.0,104.1,-615.2,1.0,2.0,1.0,4.0,0.0,0.0,27,0,256,0
47,0.4258,100,-5.30,8.20,1.00,163.8,179.4,199.5,250.2,377.0,495.8,516.3,449.5,352.1,315.3,284.7,203.9,592.9,274.3,119.7,138.3,-84.2,-234.7,1.0,-358.0,-486.5,1.0,64.5,-614.1,1.0,2.0,1.0,3.0,0.0,0.0,33,0,512,0
48,0.4375,100,-6.11,7.97,1.00,154.5,174.5,197.8,258.3,403.8,503.2,521.1,440.7,347.8,314.2,248.4,725.5,563.8,264.8,111.2,133.2,-110.8,-222.4,1.0,-402.4,-453.3,1.0,9.6,-611.7,1.0,2.0,1.0,4.0,0.0,0.0,50,0,768,0
49,0.4375,100,-6.19,7.50,1.00,144.5,163.2,190.4,248.7,397.2,511.5,531.8,450.8,355.2,317.2,234.2,543.9,554.8,256.5,101.7,121.8,-120.3,-217.3,1.0,0.1,-606.6,1.0,-411.9,-448.2,1.0,2.0,1.0,4.0,0.0,0.0,25,0,0,0
50,0.4375,100,-6.37,7.11,1.00,134.5,152.0,182.8,238.8,390.1,519.3,542.2,461.0,362.8,320.7,221.0,532.8,269.2,248.6,92.6,110.8,-126.7,-205.3,1.0,201.1,-566.8,1.0,-9.4,-602.1,1.0,2.0,1.0,2.0,0.0,0.0,29,0,0,0
