tic,angle,health,momx,momy,weapon,ray0,ray1,ray2,ray3,ray4,ray5,ray6,ray7,ray8,ray9,ray10,ray11,ray12,ray13,ray14,ray15,m0_dx,m0_dy,m0_present,m1_dx,m1_dy,m1_present,m2_dx,m2_dy,m2_present,last_fwd,last_side,last_turn,last_fire,last_use,cmd_fwd,cmd_side,cmd_turn,cmd_buttons
0,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
1,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
2,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
3,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
4,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
5,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
6,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
7,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
8,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
9,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
10,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
11,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
12,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
13,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
14,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
15,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
16,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
17,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
18,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
19,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
20,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
21,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
22,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
23,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
24,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
25,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
26,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
27,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
28,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
29,0.5000,100,0.00,0.00,1.00,176.0,83.7,45.2,34.6,32.0,34.6,45.2,83.5,80.0,95.2,113.1,103.9,96.0,103.9,135.7,190.5,208.0,-464.0,1.0,272.0,-448.0,1.0,304.0,-480.0,1.0,1.0,1.0,2.0,0.0,0.0,0,0,0,0
